train step=3960 loss=4.3277 avg_loss=5.6393 acc1=15.62
train step=3980 loss=4.3682 avg_loss=5.6331 acc1=21.88
train step=4000 loss=4.3042 avg_loss=5.6267 acc1=21.88
train step=4020 loss=4.5694 avg_loss=5.6206 acc1=20.31
train step=4040 loss=4.5807 avg_loss=5.6141 acc1=14.06
train step=4060 loss=4.6398 avg_loss=5.6079 acc1=14.06
train step=4080 loss=4.3315 avg_loss=5.6015 acc1=25.00
train step=4100 loss=4.1734 avg_loss=5.5953 acc1=25.00
train step=4120 loss=4.5126 avg_loss=5.5892 acc1=23.44
train step=4140 loss=4.2597 avg_loss=5.5834 acc1=18.75
train step=4160 loss=4.5330 avg_loss=5.5775 acc1=14.06
train step=4180 loss=4.2555 avg_loss=5.5710 acc1=17.19
train step=4200 loss=4.0220 avg_loss=5.5649 acc1=20.31
train step=4220 loss=4.0258 avg_loss=5.5587 acc1=23.44
train step=4240 loss=4.0959 avg_loss=5.5529 acc1=21.88
train step=4260 loss=4.4378 avg_loss=5.5470 acc1=12.50
train step=4280 loss=4.4663 avg_loss=5.5408 acc1=17.19
train step=4300 loss=4.0313 avg_loss=5.5343 acc1=21.88
train step=4320 loss=4.1865 avg_loss=5.5282 acc1=32.81
train step=4340 loss=4.2640 avg_loss=5.5224 acc1=25.00
train step=4360 loss=4.2717 avg_loss=5.5158 acc1=21.88
train step=4380 loss=4.3174 avg_loss=5.5097 acc1=20.31
train step=4400 loss=4.1261 avg_loss=5.5034 acc1=21.88
train step=4420 loss=4.1090 avg_loss=5.4973 acc1=18.75
train step=4440 loss=4.6973 avg_loss=5.4915 acc1=20.31
train step=4460 loss=4.1136 avg_loss=5.4852 acc1=26.56
train step=4480 loss=3.9124 avg_loss=5.4794 acc1=31.25
train step=4500 loss=3.8138 avg_loss=5.4734 acc1=26.56
train step=4520 loss=4.2516 avg_loss=5.4675 acc1=18.75
train step=4540 loss=4.4434 avg_loss=5.4615 acc1=21.88
train step=4560 loss=3.6876 avg_loss=5.4554 acc1=29.69
train step=4580 loss=4.2389 avg_loss=5.4497 acc1=18.75
