Namespace(method='qvit_lsq_qsam_sam', variant='B_32', nbits=4, data_path='/workspace/AOQ-main/AO_QAT/data', download=False, input_size=224, epochs=100, batch_size=64, workers=8, lr=0.0005, min_lr=1e-05, weight_decay=0.05, device='cuda', seed=42, output_dir='/workspace/AOQ-main/runs/google_vit_cifar100_qvit_lsq_qsam_sam_rho025_wu5_20260716_144000', finetune='auto', no_finetune=False, qsam_ratio=0.001, qsam_rho=0.25, qsam_warmup_epochs=5, debug_train_batches=0, debug_val_batches=0, print_freq=20)
[google-vit] source repo: /workspace/AOQ-main/third_party/vision_transformer
[qat] method=QViT-LSQ nbits=4 qsam=True loop=two_pass
[finetune] init from https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-vitjx/jx_vit_base_patch32_224_in21k-8db57226.pth
[finetune] missing (542): ['patch_embed.proj.alpha', 'patch_embed.proj.init_state', 'patch_embed.proj.act.alpha', 'patch_embed.proj.act.zero_point', 'patch_embed.proj.act.init_state', 'patch_embed.proj.act.signed', 'blocks.0.attn.norm_q.weight', 'blocks.0.attn.norm_q.bias', 'blocks.0.attn.norm_k.weight', 'blocks.0.attn.norm_k.bias', 'blocks.0.attn.qkv.alpha', 'blocks.0.attn.qkv.init_state']
[finetune] unexpected (2): ['pre_logits.fc.bias', 'pre_logits.fc.weight']
train step=80 loss=1.5438 sam_loss=2.1014 avg_loss=1.6815 acc1=60.94
train step=100 loss=1.7434 sam_loss=2.4034 avg_loss=1.6766 acc1=60.94
train step=120 loss=1.5703 sam_loss=2.2264 avg_loss=1.6537 acc1=60.94
train step=140 loss=1.8075 sam_loss=2.3648 avg_loss=1.6527 acc1=56.25
train step=160 loss=1.6502 sam_loss=2.1963 avg_loss=1.6584 acc1=56.25
train step=180 loss=1.7387 sam_loss=2.2922 avg_loss=1.6639 acc1=54.69
train step=200 loss=1.9211 sam_loss=2.5253 avg_loss=1.6629 acc1=54.69
train step=220 loss=1.3379 sam_loss=1.9372 avg_loss=1.6689 acc1=71.88
train step=240 loss=1.6957 sam_loss=2.2621 avg_loss=1.6706 acc1=53.12
train step=260 loss=1.8356 sam_loss=2.4039 avg_loss=1.6682 acc1=56.25
train step=280 loss=2.0855 sam_loss=2.6813 avg_loss=1.6703 acc1=48.44
train step=300 loss=1.3309 sam_loss=1.8529 avg_loss=1.6660 acc1=67.19
train step=320 loss=1.3979 sam_loss=1.8932 avg_loss=1.6662 acc1=62.50
train step=340 loss=1.5354 sam_loss=2.0386 avg_loss=1.6666 acc1=57.81
train step=360 loss=1.7249 sam_loss=2.2866 avg_loss=1.6686 acc1=57.81
train step=380 loss=1.6956 sam_loss=2.2102 avg_loss=1.6650 acc1=59.38
train step=400 loss=1.8156 sam_loss=2.4295 avg_loss=1.6650 acc1=46.88
train step=420 loss=1.5391 sam_loss=2.1217 avg_loss=1.6660 acc1=54.69
train step=440 loss=1.5341 sam_loss=2.1458 avg_loss=1.6658 acc1=60.94
train step=460 loss=1.8985 sam_loss=2.5130 avg_loss=1.6656 acc1=54.69
train step=480 loss=1.4048 sam_loss=1.8674 avg_loss=1.6651 acc1=62.50
train step=500 loss=1.5526 sam_loss=2.1515 avg_loss=1.6639 acc1=59.38
